non-terminal    , endLine , funDecl , id      , main    , paramBeg , paramEnd , commaSep , typeInt , typeFloat , typeBool , typeChar , typeString , typeEmpty , typeNull , arrayBeg , arrayEnd , blockBeg , blockEnd , varDecl , opAssign , constNumInt , constNumFloat , constBool , constChar , constString , cmdPrint , cmdRead , opConcat , cmdIf   , cmdElif , cmdElse , cmdWhile , cmdRepeat , cmdIn , cmdReturn , opOr    , opAnd   , opEquals , opRel   , opAditiv , opMult  , opUnaryNeg , EOF
PROGRAM         ,         , d1      ,         , d1      ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          , d2      ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            , d1
GLDECL          ,         , epsilon ,         , epsilon ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          , d3      ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            , epsilon
FUNCTIONS       ,         , d5      ,         , epsilon ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
MAINFUNC        ,         ,         ,         , d7      ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
PARAMS          ,         ,         ,         ,         , d8       ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
PARAMSfat       ,         ,         ,         ,         ,          , d9       ,          , d10     , d10       , d10      , d10      , d10        , d10       , d10      ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
LISTPARAMS      ,         ,         ,         ,         ,          ,          ,          , d11     , d11       , d11      , d11      , d11        , d11       , d11      ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
LISTPARAMSr     ,         ,         ,         ,         ,          , epsilon  , d12      ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
TYPE            ,         ,         ,         ,         ,          ,          ,          , d14     , d15       , d16      , d17      , d18        , d19       , d20      ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
RETURNTYPE      ,         ,         ,         ,         ,          ,          ,          , d21     , d21       , d21      , d21      , d21        , d21       , d21      ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
RETURNTYPEfat   ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          , d22      ,          , epsilon  ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
NAME            ,         ,         , d24     ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
NAMEfat         , epsilon ,         ,         ,         , epsilon  , epsilon  , epsilon  ,         ,           ,          ,          ,            ,           ,          , d25      ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         , epsilon  ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
NAMEfat2        ,         ,         , d27     ,         , d27      ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          , d28      ,          ,          ,         ,          , d27         , d27           , d27       , d27       , d27         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d27        ,
BLOCK           ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          , d29      ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
CMDS            ,         ,         , d30     ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          , epsilon  , d30     ,          ,             ,               ,           ,           ,             , d30      , d30     ,          , d30     ,         ,         , d30      , d30       ,       , d30       ,         ,         ,          ,         ,          ,         ,            ,
CMD             ,         ,         , d33     ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          , d32     ,          ,             ,               ,           ,           ,             , d34      , d35     ,          , d36     ,         ,         , d37      , d38       ,       , d39       ,         ,         ,          ,         ,          ,         ,            ,
CMDfat          ,         ,         , epsilon ,         , d42      ,          ,          ,         ,           ,          ,          ,            ,           ,          , d40      ,          ,          , epsilon  , epsilon , d41      ,             ,               ,           ,           ,             , epsilon  , epsilon ,          , epsilon ,         ,         , epsilon  , epsilon   ,       , epsilon   ,         ,         ,          ,         ,          ,         ,            ,
DECL            ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          , d44     ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
ASSG            ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          ,          ,          ,          ,          ,         , d45      ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
VALUE           ,         ,         , d47     ,         , d47      ,          ,          ,         ,           ,          ,          ,            ,           ,          , d46      ,          ,          ,          ,         ,          , d47         , d47           , d47       , d47       , d47         ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         , d47        ,
ARRAY           ,         ,         ,         ,         ,          ,          ,          ,         ,           ,          ,          ,            ,           ,          , d48      ,          ,          ,          ,         ,          ,             ,               ,           ,           ,             ,          ,         ,          ,         ,         ,         ,          ,           ,       ,           ,         ,         ,          ,         ,          ,         ,            ,
